Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39444334,06/12/2018 11:29:00 PM,06/14/2018 10:24:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,10032,138 HAVEN AVENUE,HAVEN AVENUE,W 172 ST,W 173 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/14/2018 10:24:00 AM,12 MANHATTAN,MANHATTAN,1000177,247356,Unspecified,MANHATTAN,,,,,,,,40.84559582737482,-73.94243431550203,"(40.84559582737482, -73.94243431550203)"
39443280,06/12/2018 10:39:00 PM,,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,11411,119-34 231 STREET,231 STREET,119 AVE,120 AVE,,,ADDRESS,Cambria Heights,,N/A,Open,,,13 QUEENS,QUEENS,1058412,190155,Unspecified,QUEENS,,,,,,,,40.68829761196659,-73.73258483065857,"(40.68829761196659, -73.73258483065857)"
39440030,06/12/2018 01:31:00 PM,06/21/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10026,1947 7 AVENUE,7 AVENUE,W 117 ST,W 118 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/21/2018 12:00:00 AM,10 MANHATTAN,MANHATTAN,997604,232290,Unspecified,MANHATTAN,,,,,,,,40.804248211931885,-73.9517640103144,"(40.804248211931885, -73.9517640103144)"
39438800,06/12/2018 02:19:00 PM,06/20/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10454,130 ALEXANDER AVENUE,ALEXANDER AVENUE,BRUCKNER BLVD,E 134 ST,,,ADDRESS,BRONX,,N/A,Closed,,06/20/2018 12:00:00 AM,01 BRONX,BRONX,1004411,233392,Unspecified,BRONX,,,,,,,,40.80725998699947,-73.92717314247868,"(40.80725998699947, -73.92717314247868)"
39438450,06/12/2018 12:09:00 PM,06/26/2018 08:29:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11217,3 LAFAYETTE AVENUE,LAFAYETTE AVENUE,ROCKWELL PL,ASHLAND PL,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/26/2018 08:29:00 AM,02 BROOKLYN,BROOKLYN,990110,189477,Unspecified,BROOKLYN,,,,,,,,40.68674542634465,-73.97887039189736,"(40.68674542634465, -73.97887039189736)"
39436390,06/11/2018 10:21:00 AM,06/26/2018 08:28:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,11375,110-56 71 AVENUE,71 AVENUE,110 ST,112 ST,,,ADDRESS,Forest Hills,,N/A,Closed,,06/26/2018 08:28:00 AM,06 QUEENS,QUEENS,1028288,202517,Unspecified,QUEENS,,,,,,,,40.72242948325033,-73.84112552792729,"(40.72242948325033, -73.84112552792729)"
39434188,06/11/2018 03:00:00 AM,06/20/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10035,1990 LEXINGTON AVENUE,LEXINGTON AVENUE,E 121 ST,E 122 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/20/2018 12:00:00 AM,11 MANHATTAN,MANHATTAN,1001107,231500,Unspecified,MANHATTAN,,,,,,,,40.80207389040762,-73.93911280947297,"(40.80207389040762, -73.93911280947297)"
39431316,06/11/2018 04:13:00 PM,06/19/2018 09:18:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10453,20 RICHMOND PLAZA,RICHMOND PLAZA,MAC CRACKEN AVE,MAC CRACKEN AVE,,,ADDRESS,BRONX,,N/A,Closed,,06/19/2018 09:18:00 AM,05 BRONX,BRONX,1005625,249604,Unspecified,BRONX,,,,,,,,40.85175441394754,-73.92273620228266,"(40.85175441394754, -73.92273620228266)"
39431013,06/11/2018 09:04:00 PM,06/12/2018 10:02:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,10019,446 WEST   58 STREET,WEST   58 STREET,9 AVE,10 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/12/2018 10:02:00 AM,04 MANHATTAN,MANHATTAN,987966,219503,Unspecified,MANHATTAN,,,,,,,,40.76916062655122,-73.98658450706913,"(40.76916062655122, -73.98658450706913)"
39429953,06/11/2018 12:10:00 PM,06/12/2018 10:15:00 AM,DEP,Department of Environmental Protection,Water Quality,"Oil, Grease In Water (QD1)",,11224,2816 WEST    8 STREET,WEST    8 STREET,SHEEPSHEAD BAY RD,PEDESTRIAN OVPS,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/12/2018 10:15:00 AM,13 BROOKLYN,BROOKLYN,990839,150259,Unspecified,BROOKLYN,,,,,,,,40.57909983470536,-73.97628010251854,"(40.57909983470536, -73.97628010251854)"
39428379,06/11/2018 09:38:00 AM,06/12/2018 09:54:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10034,449 WEST  206 STREET,WEST  206 STREET,9 AVE,10 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/12/2018 09:54:00 AM,12 MANHATTAN,MANHATTAN,1006802,253851,Unspecified,MANHATTAN,,,,,,,,40.86340822395463,-73.91846743691285,"(40.86340822395463, -73.91846743691285)"
39427147,06/10/2018 10:17:00 PM,06/11/2018 10:36:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,10472,1326 MANOR AVENUE,MANOR AVENUE,E 172 ST,BEND,,,ADDRESS,BRONX,,N/A,Closed,,06/11/2018 10:36:00 AM,09 BRONX,BRONX,1018245,242512,Unspecified,BRONX,,,,,,,,40.83224939343385,-73.87715493246162,"(40.83224939343385, -73.87715493246162)"
39426251,06/10/2018 04:52:00 PM,06/26/2018 08:28:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11205,232 TAAFFE PLACE,TAAFFE PLACE,WILLOUGHBY AVE,DE KALB AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/26/2018 08:28:00 AM,03 BROOKLYN,BROOKLYN,995430,191278,Unspecified,BROOKLYN,,,,,,,,40.69168363566094,-73.95968489413325,"(40.69168363566094, -73.95968489413325)"
39425626,06/10/2018 09:01:00 AM,06/18/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,11385,1736 HART STREET,HART STREET,CYPRESS AVE,DEAD END,,,ADDRESS,Ridgewood,,N/A,Closed,,06/18/2018 12:00:00 AM,05 QUEENS,QUEENS,1007145,196953,Unspecified,QUEENS,,,,,,,,40.707237626474814,-73.9174213039989,"(40.707237626474814, -73.9174213039989)"
39419832,06/09/2018 05:23:00 PM,06/26/2018 08:28:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,11237,1235 HALSEY STREET,HALSEY STREET,KNICKERBOCKER AVE,IRVING AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/26/2018 08:28:00 AM,04 BROOKLYN,BROOKLYN,1009849,191919,Unspecified,BROOKLYN,,,,,,,,40.693413071253254,-73.90768753855728,"(40.693413071253254, -73.90768753855728)"
39419791,06/09/2018 06:57:00 AM,06/18/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11420,114-21 134 STREET,134 STREET,LINCOLN ST,115 AVE,,,ADDRESS,South Ozone Park,,N/A,Closed,,06/18/2018 12:00:00 AM,10 QUEENS,QUEENS,1037597,187647,Unspecified,QUEENS,,,,,,,,40.68156367809139,-73.80765963977966,"(40.68156367809139, -73.80765963977966)"
39413663,06/09/2018 06:59:00 PM,06/19/2018 09:18:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10037,649 LENOX AVENUE,LENOX AVENUE,W 142 ST,W 143 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/19/2018 09:18:00 AM,10 MANHATTAN,MANHATTAN,1001568,237602,Unspecified,MANHATTAN,,,,,,,,40.818821290332075,-73.9374319433266,"(40.818821290332075, -73.9374319433266)"
39411843,06/08/2018 09:40:00 AM,06/11/2018 10:25:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,11426,247-74 77 CRESCENT,77 CRESCENT,247 ST,76 AVE,,,ADDRESS,Bellerose,,N/A,Closed,,06/11/2018 10:25:00 AM,13 QUEENS,QUEENS,1061144,210449,Unspecified,QUEENS,,,,,,,,40.74397618741302,-73.72250196797171,"(40.74397618741302, -73.72250196797171)"
39411809,06/08/2018 12:17:00 AM,06/27/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10012,181 SULLIVAN STREET,SULLIVAN STREET,W HOUSTON ST,BLEECKER ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/27/2018 12:00:00 AM,02 MANHATTAN,MANHATTAN,984012,204608,Unspecified,MANHATTAN,,,,,,,,40.72827838104702,-74.00085869981326,"(40.72827838104702, -74.00085869981326)"
39400126,06/07/2018 11:28:00 AM,,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,10469,3539 PAULDING AVENUE,PAULDING AVENUE,E 211 ST,E 212 ST,,,ADDRESS,BRONX,,N/A,Open,,,12 BRONX,BRONX,1023672,258364,Unspecified,BRONX,,,,,,,,40.875735797690105,-73.8574506217293,"(40.875735797690105, -73.8574506217293)"
39396443,06/07/2018 11:56:00 AM,06/21/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Oil, Grease In Water (QD1)",,11223,110 AVENUE S,AVENUE S,W 10 ST,W 9 ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/21/2018 12:00:00 AM,11 BROOKLYN,BROOKLYN,989339,158158,Unspecified,BROOKLYN,,,,,,,,40.60078199757232,-73.98167403896822,"(40.60078199757232, -73.98167403896822)"
39395811,06/07/2018 08:35:00 AM,06/08/2018 06:41:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,11235,3154 EMMONS AVENUE,EMMONS AVENUE,FORD ST,COYLE ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/08/2018 06:41:00 AM,15 BROOKLYN,BROOKLYN,1002573,152070,Unspecified,BROOKLYN,,,,,,,,40.58405418317125,-73.93403369871321,"(40.58405418317125, -73.93403369871321)"
39394467,06/07/2018 01:41:00 PM,06/26/2018 08:27:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,11234,1068 EAST   57 STREET,EAST   57 STREET,AVENUE J,AVENUE K,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/26/2018 08:27:00 AM,18 BROOKLYN,BROOKLYN,1006188,167756,Unspecified,BROOKLYN,,,,,,,,40.62710082323104,-73.92096806374103,"(40.62710082323104, -73.92096806374103)"
39394271,06/07/2018 11:37:00 AM,06/08/2018 09:18:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10037,50 WEST  131 STREET,WEST  131 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/08/2018 09:18:00 AM,10 MANHATTAN,MANHATTAN,1000563,234702,Unspecified,MANHATTAN,,,,,,,,40.81086351611407,-73.94106994679446,"(40.81086351611407, -73.94106994679446)"
39394270,06/07/2018 02:56:00 PM,06/08/2018 09:53:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,11235,3054 BRIGHTON   13 STREET,BRIGHTON   13 STREET,OCEAN VIEW AVE,BRIGHTON BEACH AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/08/2018 09:53:00 AM,13 BROOKLYN,BROOKLYN,996402,150213,Unspecified,BROOKLYN,,,,,,,,40.578967693675146,-73.95625381205458,"(40.578967693675146, -73.95625381205458)"
39393232,06/06/2018 07:19:00 PM,,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10453,20 RICHMOND PLAZA,RICHMOND PLAZA,MAC CRACKEN AVE,MAC CRACKEN AVE,,,ADDRESS,BRONX,,N/A,Open,,,05 BRONX,BRONX,1005625,249604,Unspecified,BRONX,,,,,,,,40.85175441394754,-73.92273620228266,"(40.85175441394754, -73.92273620228266)"
39393094,06/06/2018 10:10:00 AM,06/07/2018 08:32:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11222,250 NASSAU AVENUE,NASSAU AVENUE,KINGSLAND AVE,SUTTON ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/07/2018 08:32:00 AM,01 BROOKLYN,BROOKLYN,1000505,203749,Unspecified,BROOKLYN,,,,,,,,40.7259057033903,-73.94135432963544,"(40.7259057033903, -73.94135432963544)"
39391167,06/06/2018 11:39:00 AM,06/19/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10030,137 WEST  137 STREET,WEST  137 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,06/19/2018 12:00:00 AM,10 MANHATTAN,MANHATTAN,1000563,236536,Unspecified,MANHATTAN,,,,,,,,40.8158973333669,-73.94106548939487,"(40.8158973333669, -73.94106548939487)"
39388262,06/06/2018 12:40:00 PM,,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,10468,2685 CRESTON AVENUE,CRESTON AVENUE,E KINGSBRIDGE RD,E 196 ST,,,ADDRESS,BRONX,,N/A,Started,,06/07/2018 08:48:00 AM,07 BRONX,BRONX,1013335,255330,Unspecified,BRONX,,,,,,,,40.867448520345796,-73.89484219121624,"(40.867448520345796, -73.89484219121624)"
39384934,06/06/2018 01:04:00 PM,06/19/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10016,300 EAST   40 STREET,EAST   40 STREET,2 AVE,QUEENS MIDTOWN TUNNEL APPR,,,ADDRESS,NEW YORK,,N/A,Closed,,06/19/2018 12:00:00 AM,06 MANHATTAN,MANHATTAN,991725,211969,Unspecified,MANHATTAN,,,,,,,,40.748479345714074,-73.97302215300893,"(40.748479345714074, -73.97302215300893)"
39384287,06/06/2018 02:45:00 AM,06/06/2018 07:08:00 AM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,11415,126-01 82 AVENUE,82 AVENUE,126 ST,132 ST,,,ADDRESS,Kew Gardens,,N/A,Closed,,06/06/2018 07:08:00 AM,09 QUEENS,QUEENS,1032452,199362,Unspecified,QUEENS,,,,,,,,40.713748074060284,-73.82612583000157,"(40.713748074060284, -73.82612583000157)"
39383686,06/06/2018 09:07:00 AM,,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,11436,114-26 148 STREET,148 STREET,LINDEN BLVD,115 AVE,,,ADDRESS,Jamaica,,N/A,Started,,06/07/2018 08:19:00 AM,12 QUEENS,QUEENS,1041051,189004,Unspecified,QUEENS,,,,,,,,40.685266833170026,-73.79519499330458,"(40.685266833170026, -73.79519499330458)"
39380547,06/05/2018 09:40:00 PM,06/26/2018 08:21:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11209,545 73 STREET,73 STREET,5 AVE,6 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/26/2018 08:21:00 AM,10 BROOKLYN,BROOKLYN,978446,168981,Unspecified,BROOKLYN,,,,,,,,40.63048845238368,-74.02091004576452,"(40.63048845238368, -74.02091004576452)"
39379562,06/05/2018 10:50:00 AM,06/06/2018 01:27:00 PM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10458,457 EAST  187 STREET,EAST  187 STREET,PARK AVE,WASHINGTON AVE,,,ADDRESS,BRONX,,N/A,Closed,,06/06/2018 01:27:00 PM,06 BRONX,BRONX,1014091,251888,Unspecified,BRONX,,,,,,,,40.85799875372068,-73.89212417575685,"(40.85799875372068, -73.89212417575685)"
39377904,06/05/2018 02:27:00 PM,06/26/2018 08:20:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,232 WEST  132 STREET,WEST  132 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,06/26/2018 08:20:00 AM,10 MANHATTAN,MANHATTAN,999133,235789,Unspecified,MANHATTAN,,,,,,,,40.81384955255785,-73.94623335242987,"(40.81384955255785, -73.94623335242987)"
39376768,06/05/2018 08:08:00 AM,06/20/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,10026,134 WEST  117 STREET,WEST  117 STREET,LENOX AVE,7 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/20/2018 12:00:00 AM,10 MANHATTAN,MANHATTAN,997942,231931,Unspecified,MANHATTAN,,,,,,,,40.803262338386126,-73.9505438527347,"(40.803262338386126, -73.9505438527347)"
39375028,06/05/2018 08:37:00 PM,06/06/2018 07:05:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10035,1990 LEXINGTON AVENUE,LEXINGTON AVENUE,E 121 ST,E 122 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/06/2018 07:05:00 AM,11 MANHATTAN,MANHATTAN,1001107,231500,Unspecified,MANHATTAN,,,,,,,,40.80207389040762,-73.93911280947297,"(40.80207389040762, -73.93911280947297)"
39373198,06/04/2018 03:51:00 PM,06/05/2018 07:01:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11203,701 FENIMORE STREET,FENIMORE STREET,ALBANY AVE,TROY AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/05/2018 07:01:00 AM,09 BROOKLYN,BROOKLYN,1001179,179525,Unspecified,BROOKLYN,,,,,,,,40.65941517743085,-73.9389835134306,"(40.65941517743085, -73.9389835134306)"
39366744,06/04/2018 02:01:00 PM,06/04/2018 02:19:00 PM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,10012,39 GREAT JONES STREET,GREAT JONES STREET,LAFAYETTE ST,BOWERY,,,ADDRESS,NEW YORK,,N/A,Closed,,06/04/2018 02:19:00 PM,02 MANHATTAN,MANHATTAN,986258,204088,Unspecified,MANHATTAN,,,,,,,,40.726850883058724,-73.99275532650546,"(40.726850883058724, -73.99275532650546)"
39366355,06/04/2018 12:58:00 PM,06/26/2018 07:20:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,11385,1736 HART STREET,HART STREET,CYPRESS AVE,DEAD END,,,ADDRESS,Ridgewood,,N/A,Closed,,06/26/2018 07:20:00 AM,05 QUEENS,QUEENS,1007145,196953,Unspecified,QUEENS,,,,,,,,40.707237626474814,-73.9174213039989,"(40.707237626474814, -73.9174213039989)"
39365426,06/04/2018 10:39:00 AM,06/26/2018 07:20:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,10035,1919 MADISON AVENUE,MADISON AVENUE,E 123 ST,E 124 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/26/2018 07:20:00 AM,11 MANHATTAN,MANHATTAN,1000478,232483,Unspecified,MANHATTAN,,,,,,,,40.80477313254263,-73.94138236988273,"(40.80477313254263, -73.94138236988273)"
39361000,06/03/2018 05:08:00 PM,,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,10024,121 WEST   88 STREET,WEST   88 STREET,COLUMBUS AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,N/A,Open,,,07 MANHATTAN,MANHATTAN,991990,226422,Unspecified,MANHATTAN,,,,,,,,40.788148846878336,-73.97204910372824,"(40.788148846878336, -73.97204910372824)"
39360455,06/03/2018 08:14:00 PM,06/04/2018 09:31:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11385,60-96 70 AVENUE,70 AVENUE,60 LN,FRESH POND RD,,,ADDRESS,Ridgewood,,N/A,Closed,,06/04/2018 09:31:00 AM,05 QUEENS,QUEENS,1013218,195230,Unspecified,QUEENS,,,,,,,,40.70249060235458,-73.89552437031632,"(40.70249060235458, -73.89552437031632)"
39360123,06/03/2018 08:52:00 PM,06/26/2018 07:19:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,11385,1733 HART STREET,HART STREET,CYPRESS AVE,DEAD END,,,ADDRESS,Ridgewood,,N/A,Closed,,06/26/2018 07:19:00 AM,05 QUEENS,QUEENS,1007134,196949,Unspecified,QUEENS,,,,,,,,40.707226675880435,-73.91746099285496,"(40.707226675880435, -73.91746099285496)"
39359587,06/03/2018 09:42:00 PM,06/04/2018 07:25:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10021,1376 YORK AVENUE,YORK AVENUE,E 73 ST,E 74 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/04/2018 07:25:00 AM,08 MANHATTAN,MANHATTAN,997252,219001,Unspecified,MANHATTAN,,,,,,,,40.767773986524254,-73.95306119078424,"(40.767773986524254, -73.95306119078424)"
39359041,06/03/2018 08:14:00 PM,06/20/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10464,173 BELDEN STREET,BELDEN STREET,CITY ISLAND AVE,DEAD END,,,ADDRESS,BRONX,,N/A,Closed,,06/20/2018 12:00:00 AM,10 BRONX,BRONX,1044469,244800,Unspecified,BRONX,,,,,,,,40.83838940029354,-73.78237108255558,"(40.83838940029354, -73.78237108255558)"
39352850,06/02/2018 02:00:00 PM,06/07/2018 01:59:00 PM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,10024,221 WEST   77 STREET,WEST   77 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,06/07/2018 01:59:00 PM,07 MANHATTAN,MANHATTAN,989745,224258,Unspecified,MANHATTAN,,,,,,,,40.78221092518039,-73.98015807793477,"(40.78221092518039, -73.98015807793477)"
39349558,06/02/2018 04:24:00 PM,06/12/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10306,545 RIGA STREET,RIGA STREET,ADELAIDE AVE,AVISTON ST,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/12/2018 12:00:00 AM,03 STATEN ISLAND,STATEN ISLAND,951657,141974,Unspecified,STATEN ISLAND,,,,,,,,40.5563016746279,-74.1172923109593,"(40.5563016746279, -74.1172923109593)"
39346473,06/01/2018 02:10:00 PM,06/04/2018 11:12:00 AM,DEP,Department of Environmental Protection,Water Quality,"Clear Water With Organisms (Insects, Worms) (QE2)",,10305,80 FOCH AVENUE,FOCH AVENUE,LINWOOD AVE,HICKORY AVE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/04/2018 11:12:00 AM,02 STATEN ISLAND,STATEN ISLAND,964213,155723,Unspecified,STATEN ISLAND,,,,,,,,40.59407722656903,-74.07214785812758,"(40.59407722656903, -74.07214785812758)"
39345595,06/01/2018 10:16:00 PM,06/04/2018 07:11:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,10029,20 EAST  109 STREET,EAST  109 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/04/2018 07:11:00 AM,11 MANHATTAN,MANHATTAN,998459,229205,Unspecified,MANHATTAN,,,,,,,,40.795779397166264,-73.94868219328542,"(40.795779397166264, -73.94868219328542)"
39345594,06/01/2018 10:12:00 PM,06/07/2018 01:57:00 PM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10029,20 EAST  109 STREET,EAST  109 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/07/2018 01:57:00 PM,11 MANHATTAN,MANHATTAN,998459,229205,Unspecified,MANHATTAN,,,,,,,,40.795779397166264,-73.94868219328542,"(40.795779397166264, -73.94868219328542)"
39345575,06/01/2018 11:23:00 PM,06/04/2018 09:52:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,10452,1005 JEROME AVENUE,JEROME AVENUE,E 164 ST,E 165 ST,,,ADDRESS,BRONX,,N/A,Closed,,06/04/2018 09:52:00 AM,04 BRONX,BRONX,1004652,242263,Unspecified,BRONX,,,,,,,,40.83160782122029,-73.92627561773638,"(40.83160782122029, -73.92627561773638)"
39344767,06/01/2018 02:10:00 PM,06/04/2018 07:08:00 AM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,11234,1118 EAST   72 STREET,EAST   72 STREET,AVENUE K,AVENUE L,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/04/2018 07:08:00 AM,18 BROOKLYN,BROOKLYN,1007555,167740,Unspecified,BROOKLYN,,,,,,,,40.627053415901514,-73.91604348626407,"(40.627053415901514, -73.91604348626407)"
39343867,06/01/2018 07:49:00 PM,06/15/2018 08:42:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10022,410 EAST   57 STREET,EAST   57 STREET,1 AVE,SUTTON PL,,,ADDRESS,NEW YORK,,N/A,Closed,,06/15/2018 08:42:00 AM,06 MANHATTAN,MANHATTAN,994658,215472,Unspecified,MANHATTAN,,,,,,,,40.75809122567155,-73.96243131053485,"(40.75809122567155, -73.96243131053485)"
39342151,06/01/2018 05:03:00 PM,06/07/2018 01:20:00 PM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,11210,736A EAST   31 STREET,EAST   31 STREET,GLENWOOD RD,BEND,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/07/2018 01:20:00 PM,14 BROOKLYN,BROOKLYN,999036,169988,Unspecified,BROOKLYN,,,,,,,,40.63324201510131,-73.94672834084295,"(40.63324201510131, -73.94672834084295)"
39342128,06/01/2018 01:54:00 PM,06/04/2018 09:26:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,11417,133-18 86 STREET,86 STREET,133 AVE,DUMONT AVE,,,ADDRESS,Ozone Park,,N/A,Closed,,06/04/2018 09:26:00 AM,10 QUEENS,QUEENS,1025779,184828,Unspecified,QUEENS,,,,,,,,40.67388950704055,-73.8502862169893,"(40.67388950704055, -73.8502862169893)"
